Word,Score
dễ_thương,1
dí_dỏm,1
dọa,-1
dọn_dẹp,1
dồi_dào,1
dồn,-1
dồn_dập,-1
dông_dài,-1
dơ,-1
dở,-1
dở_tệ,-1
dời,-1
dù_sao,-1
dục,-1
dùm,-1
dùng_được,1
duy_nhất,1
duy_trì,1
duyệt,1
dư,1
dữ,-1
dư_dả,1
dư_thừa,-1
dừng,-1
dưới,-1
dứt_khoát,1
đa_cấp,-1
đa_dạng,1
đa_dạng_hóa,1
đại,-1
đại_trà,1
đảm_bảo,1
đảm_bảo_an_toàn,1
đam_mê,1
đảm_nhận,1
đan_xen,1
đáng,1
đáng_giá,1
đáng_kể,1
đánh_đố,-1
đánh_đồng,-1
đạo_đức,1
đảo_lộn,-1
đào_sâu,1
đáp_ứng,1
đạt,1
đau,-1
đau_đầu,-1
đặc_biệt,1
đặc_thù,1
đắng,-1
đắt_tiền,-1
đâm_ra,-1
đậu,1
đấu_tranh,1
đầy_đủ,1
đẩy_mạnh,1
đè,-1
đẻ,-1
đẹp,1
đẹp_trai,1
đề_cập,1
đề_nghị,-1
đề_nghị_trường,-1
đề_xuất,-1
để_ý,-1
đến_nỗi,-1
đều,1
đều_đặn,1
đi_qua_đi_lại,-1
đi_sâu,1
điểm_cao,1
điểm_cộng,1
điểm_chuẩn_xác,1
điểm_danh,-1
điển_hình,1
điển_hình_như,1
điều_chỉnh,-1
điều_chỉnh_trang,-1
đĩnh_đạc,1
định_hình,1
định_hướng,1
đoàn_kết,1
đòi,-1
đói,-1
đòi_hỏi,-1
đóng_góp,1
đóng_góp_phần_lớn,1
đóng_góp_ý_kiến,1
đổ,-1
đố,-1
đổ_lỗi,-1
độc_đáo,1
độc_đoán,-1
độc_hại,-1
đốc_thúc,1
đôi_chút,-1
đổi_mới,1
đối_phó,-1
đối_phó_nổi,1
đối_xử,-1
đông,-1
đồng_bộ,1
động_cơ_học_tập,1
đồng_đều,1
đông_đủ,1
đồng_loạt,1
động_năng_nổ,-1
đồng_nhất,1
đồng_tình,1
động_viên,1
đồng_ý,1
đột_ngột,-1
đột_xuất,-1
đơ,-1
đỡ,1
đợi,-1
đơn_giản,1
đơn_giản_hóa,1
đơn_thuần,-1
đủ,1
đùa,-1
đúc_kết,1
đúng,1
đụng,-1
đúng_đắn,1
đuổi,-1
đuối,-1
đừng,-1
đứng_đợi,-1
được,1
được_chọn,1
đứt,-1
e_ngại,-1
ép,-1
ép_buộc,-1
êm,-1
failse,-1
famous,1
fan,1
feed,-1
free,1
full,-1
funny,1
gánh,-1
ganh_đua,1
gay_gắt,-1
gắn_bó,1
gắn_kết,1
gắt,-1
gắt_gao,-1
gần,1
gần_gũi,1
gấp,-1
gấp_gáp,-1
gấp_rút,-1
gây,-1
gầy,-1
gây_mê,-1
gây_rối,-1
gây_sự,-1
ghen,-1
ghét,-1
ghê,-1
ghi_điểm,1
gò_bó,-1
gò_ép,-1
gọn,1
gọn_gàng,1
good,1
góp_ý,1
góp_ý_kiến,1
gỡ_rối,1
gợi_mở,1
gợi_ý,1
gượng_ép,-1
gương_mẫu,1
già,-1
gia_đình,1
gia_hạn,-1
giả_sử,-1
gia_tăng,1
giá_trị,1
gia_trưởng,-1
giải,1
giải_đáp,1
giải_lao,1
giải_pháp,1
giải_quyết,1
giải_quyết_sinh_viên,1
giải_tán,-1
giải_tỏa,1
giải_thích,1
giải_thưởng,1
giải_trí,1
giảm,-1
giám_sát,1
giám_sát_sinh_viên,1
giám_thị,-1
giảm_thiểu,-1
gián_đoạn,-1
gian_lận,-1
gian_nan,-1
gián_tiếp,-1
giảng_giải,1
giảng_giải_nhiệt_tình,1
giảng_kỹ,1
giành_giật,-1
giàu,1
giận_dỗi,-1
giật,-1
giỏi,1
giọng_điệu,-1
giúp,1
giúp_đỡ,1
giúp_ích,1
giữa_chừng,-1
hạ,-1
hà_khắc,-1
hài_hòa,1
hài_hước,1
hài_lòng,1
ham,1
ham_thích,1
hạn_chế,-1
hạn_hẹp,-1
hàn_lâm,1
hàng_đầu,1
hạnh_phúc,1
hao,-1
hào_hứng,1
hay,1
hay_ho,1
hăng_hái,1
hăng_say,1
hắt,-1
hầm,-1
hâm_mộ,1
hấp_dẫn,1
hầu_như_không,-1
hậu_quả,-1
hết,-1
hết_lòng,1
hết_mình,1
hết_mức,1
hết_mực,1
hết_sức,1
hì,1
hi_hi,1
hi_hi_đồ,1
hi_vọng,-1
hiếm,-1
hiền,1
hiện_đại,1
hiền_lành,1
hiện_rõ,1
hiểu,1
hiểu_biết,1
hiệu_chỉnh,1
hiệu_quả,1
hiệu_quả_thực_hành,1
hiệu_suất,1
hiếu_thắng,-1
hihi,1
hình_thức,-1
hình_thức_hóa,-1
hoà_đồng,1
hoàn_chỉnh,1
hoàn_hảo,1
hoàn_tất,1
hoàn_thành,1
hoàn_thành_công_việc,1
hoàn_thiện,1
hoang_mang,-1
hoạt_bát,1
